# Well ID Number:  42-477-20130-13
# Timestamp:  1545230005
# Device Serial Number: 123456789
# Sensor Serial Numbers: [00000013,00000014]
#
position,length,weight
0,-0.095694,9.1702
0.16275,-0.095694,9.1915
0.3255,0,9.2128
0.48825,0,9.234
0.65099,0,9.2553
0.81374,0.095694,9.2766
0.97649,0.095694,9.2979
1.1392,0.095694,9.3191
1.302,0.095694,9.3404
1.4647,0.095694,9.3617
1.6275,0.095694,9.383
1.7902,0.095694,9.4043
1.953,0.095694,9.4255
2.1157,0.095694,9.4468
2.2785,0.19139,9.4681
2.4412,0.19139,9.4894
2.604,0.19139,9.5106
2.7667,0.19139,9.5319
2.9295,0.19139,9.5532
3.0922,0.19139,9.5745
3.255,0.19139,9.5957
3.4177,0.19139,9.617
3.5805,0.19139,9.6383
3.7432,0.19139,9.6596
3.906,0.28708,9.6596
4.0687,0.38278,9.6596
4.2315,0.47847,9.6383
4.3942,0.57416,9.617
4.557,0.66986,9.5957
4.7197,0.76555,9.5745
4.8825,0.86124,9.5745
5.0452,0.95694,9.5745
5.208,1.0526,9.5745
5.3707,1.1483,9.5745
5.5335,1.244,9.5745
5.6962,1.3397,9.5957
5.859,1.4354,9.617
6.0217,1.5311,9.6383
6.1844,1.5311,9.6596
6.3472,1.6268,9.6809
6.5099,1.7225,9.7021
6.6727,1.8182,9.7234
6.8354,1.9139,9.7234
6.9982,2.0096,9.7234
7.1609,2.1053,9.7234
7.3237,2.201,9.7021
7.4864,2.2967,9.6809
7.6492,2.3923,9.6809
7.8119,2.488,9.6596
7.9747,2.5837,9.6383
8.1374,2.6794,9.6383
8.3002,2.7751,9.617
8.4629,2.8708,9.617
8.6257,2.9665,9.617
8.7884,3.0622,9.5957
8.9512,3.1579,9.5957
9.1139,3.2536,9.5957
9.2767,3.3493,9.5957
9.4394,3.445,9.5745
9.6022,3.5407,9.5745
9.7649,3.6364,9.5745
9.9277,3.7321,9.5745
10.09,3.8278,9.5745
10.253,3.9234,9.5745
10.416,4.0191,9.5957
10.579,4.1148,9.5957
10.741,4.2105,9.5957
10.904,4.3062,9.617
11.067,4.4019,9.617
11.23,4.4976,9.617
11.392,4.5933,9.617
11.555,4.689,9.617
11.718,4.7847,9.617
11.881,4.8804,9.5957
12.043,4.9761,9.5957
12.206,5.0718,9.5745
12.369,5.1675,9.5532
12.532,5.2632,9.5319
12.694,5.3589,9.5319
12.857,5.4545,9.5106
13.02,5.5502,9.4894
13.183,5.6459,9.4681
13.345,5.7416,9.4681
13.508,5.8373,9.4468
13.671,5.933,9.4468
13.834,6.0287,9.4468
13.996,6.1244,9.4681
14.159,6.2201,9.4681
14.322,6.3158,9.4894
14.485,6.4115,9.4894
14.647,6.5072,9.4894
